name,price,location,rating,sold,details_link
PROMO Samsung Galaxy A04s 4/64GB Garansi Resmi,Rp1.810.000,Jakarta Pusat,4.9,Terjual 1 rb+,https://www.tokopedia.com/jikalaku/promo-samsung-galaxy-a04s-4-64gb-garansi-resmi-cooper?extParam=ivf%3Dfalse%26src%3Dsearch
Xiaomi Redmi Note 11 Pro 5G 8/128 GB Garansi Resmi,Rp3.904.000,Jakarta Pusat,5.0,Terjual 1 rb+,https://www.tokopedia.com/gudang-hp/xiaomi-redmi-note-11-pro-5g-8-128-gb-garansi-resmi-putih?extParam=ivf%3Dfalse%26src%3Dsearch
OPPO A57 5G 8/128 GB 4/64 GB Garansi Resmi Oppo A57 2022 Not A16 A95,Rp2.046.000,Jakarta Pusat,4.8,Terjual 4 rb+,https://www.tokopedia.com/distriponsel/oppo-a57-5g-8-128-gb-4-64-gb-garansi-resmi-oppo-a57-2022-not-a16-a95-non-bundle-4-64-4g-random?extParam=ivf%3Dfalse%26src%3Dsearch
FS!!! XIAOMI REDMI 9C 4/64 GARANSI RESMI,Rp1.410.000,Jakarta Pusat,5.0,Terjual 2 rb+,https://www.tokopedia.com/jikalaku/fs-xiaomi-redmi-9c-4-64-garansi-resmi-purple?extParam=ivf%3Dfalse%26src%3Dsearch
Xiaomi Redmi Pad 6/128GB Garansi Resmi,Rp3.304.000,Jakarta Pusat,4.9,Terjual 100+,https://www.tokopedia.com/pandawatiga/xiaomi-redmi-pad-6-128gb-garansi-resmi-monlight-silver?extParam=ivf%3Dfalse%26src%3Dsearch
Vivo Y22 4/64Gb+6/128Gb Garansi Resmi,Rp2.027.000,Jakarta Selatan,5.0,Terjual 1 rb+,https://www.tokopedia.com/murahmeriah9/vivo-y22-4-64gb-6-128gb-garansi-resmi-4-64-blue-promo?extParam=ivf%3Dfalse%26src%3Dsearch
Apple iPhone 14 Pro Max 5G 1TB 512GB 256GB 128GB Black Purple ProMax,Rp21.939.000,Jakarta Pusat,4.9,Terjual 250+,https://www.tokopedia.com/studioponsel/apple-iphone-14-pro-max-5g-1tb-512gb-256gb-128gb-black-purple-promax-128gb-gold?extParam=ivf%3Dfalse%26src%3Dsearch
Samsung Galaxy A33 5G 8/256 GB Garansi Resmi SEIN,Rp4.733.000,Jakarta Pusat,5.0,Terjual 1 rb+,https://www.tokopedia.com/gudang-hp/samsung-galaxy-a33-5g-8-256-gb-garansi-resmi-sein-biru?extParam=ivf%3Dfalse%26src%3Dsearch
Samsung Galaxy S21 FE 8/128 8/256 GB RAM 8 ROM 128 256 Handphone,Rp8.239.000,Jakarta Pusat,4.9,Terjual 750+,https://www.tokopedia.com/supergadgettt/samsung-galaxy-s21-fe-8-128-8-256-gb-ram-8-rom-128-256-handphone-green-8-256gb?extParam=ivf%3Dfalse%26src%3Dsearch
Samsung Galaxy A04 4/64 GB Garansi Resmi SEIN [FLASH SALE],Rp1.899.000,Jakarta Pusat,5.0,Terjual 500+,https://www.tokopedia.com/gudang-hp/samsung-galaxy-a04-4-64-gb-garansi-resmi-sein-flash-sale-promo?extParam=ivf%3Dfalse%26src%3Dsearch
Apple iPhone 11 IBOX Dual Sim 64GB 128GB 256GB Black White Red Purple,Rp7.549.000,Jakarta Pusat,4.9,Terjual 500+,https://www.tokopedia.com/studioponsel/apple-iphone-11-ibox-dual-sim-64gb-128gb-256gb-black-white-red-purple-64gb-ibox-black?extParam=ivf%3Dfalse%26src%3Dsearch
Apple iPhone 14 Pro 5G 1TB 512GB 256GB 128GB Black SIlver Gold Purple,Rp19.989.000,Jakarta Pusat,4.9,Terjual 250+,https://www.tokopedia.com/studioponsel/apple-iphone-14-pro-5g-1tb-512gb-256gb-128gb-black-silver-gold-purple-128gb-gold?extParam=ivf%3Dfalse%26src%3Dsearch
Xiaomi Mi 12T 8/256 GB Garansi Resmi Xiaomi 12T 8 GB 256 GB Not Mi 11t,Rp6.149.000,Jakarta Pusat,4.9,Terjual 100+,https://www.tokopedia.com/distriponsel/xiaomi-mi-12t-8-256-gb-garansi-resmi-xiaomi-12t-8-gb-256-gb-not-mi-11t-8-256gb-random-non-bundle?extParam=ivf%3Dfalse%26src%3Dsearch
Realme C33 (3/32+4/64) Garansi Resmi,Rp1.419.000,Jakarta Selatan,4.9,Terjual 1 rb+,https://www.tokopedia.com/murahmeriah9/realme-c33-3-32-4-64-garansi-resmi-3-32-blue-promo?extParam=ivf%3Dfalse%26src%3Dsearch
Infinix Note 12 2023 8/128GB + 8/256GB Garansi Resmi,Rp2.599.000,Jakarta Barat,5.0,Terjual 2 rb+,https://www.tokopedia.com/duniagadgetku/infinix-note-12-2023-8-128gb-8-256gb-garansi-resmi-8-128-blue?extParam=ivf%3Dfalse%26src%3Dsearch
Infinix Hot 12i 4/64 GB Garansi Resmi,Rp1.477.000,Jakarta Barat,5.0,Terjual 4 rb+,https://www.tokopedia.com/duniagadgetku/infinix-hot-12i-4-64-gb-garansi-resmi-4-64-green?extParam=ivf%3Dfalse%26src%3Dsearch
